Movie_ID,Title,Year,Rating,Link,Budget,gross_revenue,official_sites,release_date,languages,genres,production_companies,filming_location,country_of_origin
tt0111161,The Shawshank Redemption,1994,9.3,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,"$3,300,000","$30,681,033",Official sitesOfficial FacebookOfficial Site,"February 13, 2004",['Portuguese'],"['Caper', 'Coming-of-Age', 'Gangster', 'Crime', 'Drama']",O2 Filmes,"Rio de Janeiro, Rio de Janeiro, Brazil","Brazil, France"
tt0068646,The Godfather,1972,9.2,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,"$25,000,000","$29,332,133",Official sitesOfficial FacebookWarner Bros. (United States),"October 14, 1994",['English'],"['Epic', 'Period Drama', 'Prison Drama', 'Drama']",Castle Rock Entertainment,"Mansfield Reformatory - 100 Reformatory Road, Mansfield, Ohio, USA(The prison that is used in the large panning scene, and used for the wardens office.)",United States
tt0468569,The Dark Knight,2008,9.0,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,"$6,000,000","$250,342,198",Official sitesFacebookInstagram,"March 24, 1972","['English', 'Italian', 'Latin']","['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",Paramount Pictures,"Forza d'Agrò, Messina, Sicily, Italy(as Corleone village)",United States
tt0071562,The Godfather Part II,1974,9.0,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,"$185,000,000","$1,009,057,329",Official sitesFacebookOfficial Site,"July 18, 2008","['English', 'Mandarin']","['Action Epic', 'Epic', 'Superhero', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']",Warner Bros.,"Chicago, Illinois, USA","United States, United Kingdom"
tt0050083,12 Angry Men,1957,9.0,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,"$13,000,000","$47,980,865",Official sitesFacebookInstagram,"December 18, 1974","['English', 'Italian', 'Spanish', 'Latin', 'Sicilian']","['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",Paramount Pictures,"Kaiser Estate - 4000 W Lake Blvd, Homewood, Lake Tahoe, California, USA(Corleone Compound)",United States
tt0167260,The Lord of the Rings: The Return of the King,2003,9.0,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6,"$350,000","$2,945",N/A,"April 10, 1957",['English'],"['Legal Drama', 'Psychological Drama', 'Crime', 'Drama']",Orion-Nova Productions,"New York County Courthouse - 60 Centre Street, New York City, New York, USA(Exterior)",United States
tt0108052,Schindler's List,1993,9.0,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7,"$94,000,000","$1,138,585,992",Official sitesOfficial FacebookOfficial site: The Lord of the Rings Trilogy,"December 17, 2003","['English', 'Quenya', 'Old English', 'Sindarin']","['Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Adventure', 'Drama']",New Line Cinema,"Hinuera Valley, Matamata, Waikato, New Zealand(Hobbiton)","New Zealand, United States"
tt0110912,Pulp Fiction,1994,8.9,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,"$22,000,000","$322,161,245",Official sitesOfficial FacebookUniversal Pictures Home Entertainment (United States),"February 4, 1994","['English', 'Hebrew', 'German', 'Polish', 'Latin']","['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Prison Drama', 'Tragedy', 'Biography', 'Drama', 'History']",Universal Pictures,"Auschwitz-Birkenau Concentration Camp, Oswiecim, Malopolskie, Poland",United States
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,"$8,000,000","$213,928,762",Official sitesOfficial FacebookOfficial Site,"October 14, 1994","['English', 'Spanish', 'French']","['Dark Comedy', 'Drug Crime', 'Gangster', 'Crime', 'Drama']",Miramax,"1435 Flower Street, Glendale, California, USA(Jack Rabbit Slims;exterior)",United States
tt0060196,"The Good, the Bad and the Ugly",1966,8.8,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,"$93,000,000","$888,483,037",Official sitesOfficial FacebookOfficial Warner Bros.,"December 19, 2001","['English', 'Sindarin']","['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama', 'Fantasy']",New Line Cinema,"Wellington, New Zealand(Bree)","New Zealand, United States, United Kingdom"
